Data,Refeição,Calorias,Gorduras (g),Gorduras saturadas,Gorduras poliinsaturadas,Gorduras monoinsaturadas,Gorduras trans,Colesterol,Sódio (mg),Potássio,Carboidratos (g),Fibra,Açucar,Proteínas (g),Vitamina A,Vitamina C,Cálcio,Ferro,export_headers.note
2026-01-19,Almoço,824.8,13.0,1.0,0.0,0.0,0.0,0.0,134.6,56.8,163.0,2.9,9.1,24.5,66.7,5.9,5.9,6.1,
2026-01-19,Jantar,805.2,14.9,4.2,0.0,0.0,0.0,0.0,128.7,56.8,154.3,4.0,10.8,24.8,66.7,5.9,5.9,6.1,
2026-01-20,Almoço,465.1,8.9,3.2,2.0,3.0,0.0,90.0,99.4,686.6,61.4,10.7,0.7,41.7,30.3,5.9,5.0,20.8,
2026-01-20,Café da manhã,460.4,8.9,3.2,2.0,3.0,0.0,90.0,92.0,629.8,60.0,10.3,0.3,41.4,1.1,0.0,4.1,19.7,
2026-01-20,Jantar,790.5,33.2,9.3,0.6,10.3,0.0,105.6,1309.4,401.2,73.4,0.4,3.5,51.5,29.2,5.9,0.9,1.1,
2026-01-20,Lanches,193.0,3.2,2.0,0.0,0.0,0.0,0.0,690.0,0.0,6.9,0.0,6.7,34.2,0.0,0.0,30.0,0.0,
2026-01-21,Almoço,465.1,8.9,3.2,2.0,3.0,0.0,90.0,99.4,686.6,61.4,10.7,0.7,41.7,30.3,5.9,5.0,20.8,
2026-01-21,Café da manhã,113.0,0.2,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.7,0.0,0.5,27.0,0.0,0.0,0.0,0.0,
2026-01-21,Jantar,807.3,41.8,15.8,2.9,5.5,0.1,558.0,748.4,263.8,23.8,0.4,16.2,84.2,45.4,5.9,9.3,15.7,
2026-01-21,Lanches,500.0,15.8,8.8,0.0,0.0,0.0,0.0,133.3,0.0,77.5,0.0,0.0,11.7,0.0,0.0,0.0,0.0,
2026-01-22,Almoço,465.1,8.9,3.2,2.0,3.0,0.0,90.0,99.4,686.6,61.4,10.7,0.7,41.7,30.3,5.9,5.0,20.8,
2026-01-22,Café da manhã,113.0,0.2,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.7,0.0,0.5,27.0,0.0,0.0,0.0,0.0,
2026-01-22,Jantar,797.5,19.4,4.7,2.0,3.0,0.0,90.0,3399.4,686.6,65.8,10.7,2.2,92.7,30.3,5.9,5.0,20.8,
2026-01-22,Lanches,58.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,6.1,0.0,0.0,0.0,0.0,
2026-01-23,Almoço,626.1,28.1,8.5,0.8,10.2,1.4,106.8,710.6,709.4,56.8,4.9,8.4,38.4,31.6,5.9,10.2,30.8,
2026-01-23,Café da manhã,198.0,5.0,3.3,0.0,0.0,0.0,0.0,690.0,0.0,13.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,
2026-01-23,Jantar,757.9,11.5,5.1,0.0,0.0,0.0,0.0,107.7,830.8,79.4,6.0,7.6,83.1,29.2,5.9,0.9,1.1,
