Data,Exercício,Tipo,Calorias de exercícios,Minutos de exercício,Séries,Repetições por série,Quilogramas,Passos,export_headers.note
2026-01-19,"""Corrida, esteira""",Cardiovascular,235.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,235.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,235.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,235.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,235.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,235.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,233.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,233.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,233.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,233.0,49,,,,,
2026-01-19,"""Corrida, esteira""",Cardiovascular,225.0,49,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,110.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,110.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,110.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,110.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,110.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,110.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,109.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,109.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,109.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,52.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,109.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,50.0,11,,,,,
2026-01-19,Caminhada,Cardiovascular,105.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,105.0,23,,,,,
2026-01-19,Caminhada,Cardiovascular,105.0,23,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,85.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,128.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,85.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,128.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,85.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,128.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,86.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,48.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,72.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,129.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,86.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,48.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,72.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,129.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,86.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,129.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,86.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,129.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,86.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,129.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,86.0,18,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,71.0,15,,,,,
2026-01-20,Caminhada,Cardiovascular,129.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,105.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,128.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,104.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,104.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,128.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,104.0,22,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,100.0,21,,,,,
2026-01-20,Caminhada,Cardiovascular,47.0,10,,,,,
2026-01-20,Caminhada,Cardiovascular,128.0,27,,,,,
2026-01-20,Caminhada,Cardiovascular,104.0,22,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,190.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,190.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,189.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,188.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,188.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,188.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,188.0,36,,,,,
2026-01-20,General exercise,Cardiovascular,188.0,36,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,144.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,144.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-20,Halterofilismo (levantamento de peso),Cardiovascular,143.0,30,,,,,
2026-01-21,"""Corrida, esteira""",Cardiovascular,255.0,54,,,,,
2026-01-21,"""Corrida, esteira""",Cardiovascular,255.0,54,,,,,
2026-01-21,"""Corrida, esteira""",Cardiovascular,255.0,54,,,,,
2026-01-21,"""Corrida, esteira""",Cardiovascular,255.0,54,,,,,
2026-01-21,"""Corrida, esteira""",Cardiovascular,257.0,54,,,,,
