Data,Refeição,Calorias,Gorduras (g),Gorduras saturadas,Gorduras poliinsaturadas,Gorduras monoinsaturadas,Gorduras trans,Colesterol,Sódio (mg),Potássio,Carboidratos (g),Fibra,Açucar,Proteínas (g),Vitamina A,Vitamina C,Cálcio,Ferro,export_headers.note
2026-01-19,Almoço,385.0,12.9,2.3,3.4,3.2,0.0,55.7,591.1,187.0,52.8,1.9,1.4,14.3,25.1,0.0,4.2,25.2,
2026-01-19,Jantar,524.6,27.3,4.2,3.0,5.7,0.0,368.9,190.4,139.8,39.8,2.7,3.0,27.3,14.5,0.0,5.7,9.7,
2026-01-19,Lanches,100.0,6.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.8,0.0,0.0,240.0,0.0,
2026-01-20,Almoço,855.6,5.3,0.6,0.2,0.1,0.0,0.0,0.2,716.0,164.8,20.9,27.1,52.4,0.0,20.0,2.0,6.0,
2026-01-20,Jantar,320.3,23.2,5.1,3.0,5.4,0.8,337.9,392.9,161.0,5.8,0.3,2.0,21.0,14.1,0.0,8.1,8.9,
2026-01-20,Lanches,143.5,2.8,1.8,0.0,0.0,0.0,0.0,252.0,0.0,8.9,0.0,8.4,20.3,0.0,0.0,0.0,0.0,
2026-01-21,Almoço,855.6,5.3,0.6,0.2,0.1,0.0,0.0,0.2,716.0,164.8,20.9,27.1,52.4,0.0,20.0,2.0,6.0,
2026-01-21,Jantar,367.8,22.7,3.6,0.0,0.0,0.0,0.0,390.8,0.0,10.4,0.3,0.3,30.6,0.0,0.0,0.0,0.0,
2026-01-21,Lanches,197.3,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,16.2,20.4,0.0,0.0,0.0,0.0,
2026-01-22,Almoço,963.8,26.1,9.0,0.6,10.3,0.0,105.6,480.0,344.4,139.8,16.2,3.1,54.7,0.0,0.0,0.0,0.0,
2026-01-22,Jantar,516.5,33.6,8.9,5.9,10.8,1.5,675.9,1482.6,414.4,6.5,0.3,4.1,42.3,28.2,0.0,16.1,17.8,
2026-01-22,Lanches,226.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,9.0,20.1,0.0,0.0,0.0,0.0,
2026-01-23,Almoço,551.0,24.6,9.1,0.8,10.5,0.0,105.6,998.4,558.6,48.6,3.7,6.5,37.0,1.7,0.0,2.7,5.3,
2026-01-23,Café da manhã,188.0,4.3,2.6,0.0,0.0,0.0,0.0,236.0,0.0,12.0,0.0,11.0,24.0,0.0,0.0,0.0,0.0,
2026-01-23,Jantar,711.8,23.0,4.6,1.0,1.7,0.0,114.8,316.1,345.6,58.3,4.2,5.1,67.1,0.6,0.0,2.0,7.8,
2026-01-24,Almoço,396.8,14.7,4.8,0.5,4.8,0.0,189.0,286.0,659.5,23.9,0.3,0.0,39.6,0.0,0.0,0.8,36.8,
2026-01-24,Jantar,553.9,31.7,10.8,7.0,8.7,0.4,117.5,184.3,1155.5,30.0,2.3,2.8,38.2,12.9,39.4,6.1,5.5,
2026-01-24,Lanches,330.0,16.0,8.8,0.0,0.0,0.0,0.0,240.0,0.0,42.8,0.8,20.0,4.3,0.0,0.0,0.0,0.0,
2026-01-25,Almoço,497.7,28.1,10.0,6.0,7.7,0.4,102.7,168.4,1057.5,30.0,2.3,2.8,32.7,11.8,37.6,5.9,5.0,
