Data,Peso
2026-01-20,69.6
2026-01-21,69.4
2026-01-22,69.9
2026-01-23,69.4
2026-01-24,69.8
2026-01-25,69.0
2026-01-26,68.7
2026-01-27,68.4
2026-01-28,68.2
2026-01-29,68.2
2026-01-30,68.5
2026-01-31,68.7
2026-02-01,68.8
2026-02-02,68.5
2026-02-03,68.3
2026-02-04,68.0
2026-02-05,68.3
2026-02-06,69.1
2026-02-07,67.9
2026-02-08,68.1
2026-02-09,68.2
2026-02-10,67.6
2026-02-11,67.4
2026-02-12,67.6
2026-02-15,67.6
2026-02-16,67.3
2026-02-17,66.9
2026-02-18,66.9
2026-02-19,66.8
2026-02-20,66.6
2026-02-21,67.1
2026-02-22,67.6
2026-02-23,66.9
2026-02-25,66.4
2026-03-03,67.1
2026-03-04,66.9
2026-03-05,66.3
