Data,Exercício,Tipo,Calorias de exercícios,Minutos de exercício,Séries,Repetições por série,Quilogramas,Passos,export_headers.note
2026-01-19,"""Ginástica, esteira""",Cardiovascular,313.0,52,,,,,
2026-01-19,"""Ginástica, esteira""",Cardiovascular,313.0,52,,,,,
2026-01-19,Genérico,Cardiovascular,222.0,67,,,,,
2026-01-19,Genérico,Cardiovascular,21.0,3,,,,,
2026-01-19,Genérico,Cardiovascular,33.0,10,,,,,
2026-01-19,Genérico,Cardiovascular,38.0,6,,,,,
2026-01-19,Genérico,Cardiovascular,74.0,15,,,,,
2026-01-19,Genérico,Cardiovascular,61.0,12,,,,,
2026-01-19,Genérico,Cardiovascular,74.0,15,,,,,
2026-01-19,Genérico,Cardiovascular,61.0,12,,,,,
2026-01-20,Genérico,Cardiovascular,59.0,18,,,,,
2026-01-20,Genérico,Cardiovascular,59.0,18,,,,,
2026-01-20,Genérico,Cardiovascular,102.0,31,,,,,
2026-01-20,Genérico,Cardiovascular,126.0,38,,,,,
2026-01-20,Genérico,Cardiovascular,87.0,18,,,,,
2026-01-20,Genérico,Cardiovascular,216.0,36,,,,,
2026-01-20,Genérico,Cardiovascular,54.0,10,,,,,
2026-01-20,Genérico,Cardiovascular,151.0,30,,,,,
2026-01-20,Genérico,Cardiovascular,179.0,35,,,,,
2026-01-20,Genérico,Cardiovascular,59.0,18,,,,,
2026-01-20,Genérico,Cardiovascular,59.0,18,,,,,
2026-01-20,Genérico,Cardiovascular,102.0,31,,,,,
2026-01-20,Genérico,Cardiovascular,126.0,38,,,,,
2026-01-20,Genérico,Cardiovascular,87.0,18,,,,,
2026-01-20,Genérico,Cardiovascular,216.0,36,,,,,
2026-01-20,Genérico,Cardiovascular,54.0,10,,,,,
2026-01-20,Genérico,Cardiovascular,151.0,30,,,,,
2026-01-20,Genérico,Cardiovascular,179.0,35,,,,,
2026-01-20,Genérico,Cardiovascular,216.0,36,,,,,
2026-01-20,Genérico,Cardiovascular,54.0,10,,,,,
2026-01-20,Genérico,Cardiovascular,151.0,30,,,,,
2026-01-20,Genérico,Cardiovascular,179.0,35,,,,,
2026-01-20,Gym Workout,Cardiovascular,102.0,30,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,30,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,67,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,57,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,9,,,,,
2026-01-21,Genérico,Cardiovascular,189.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,9,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,30,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,67,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,57,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,9,,,,,
2026-01-21,Genérico,Cardiovascular,189.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,30,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,67,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,57,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,9,,,,,
2026-01-21,Genérico,Cardiovascular,189.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,38,,,,,
2026-01-21,Genérico,Cardiovascular,30.0,30,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,67,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
2026-01-21,Genérico,Cardiovascular,192.0,57,,,,,
2026-01-21,Genérico,Cardiovascular,121.0,36,,,,,
